Age,Gender,Ethnicity,BrCitizen,AgetoUK,UniYear,BSPub1R,BSPub2,BSPub3,BSPub4,BSPubResp,BSSlur1R,BSSlur2,BSSlur3,BSSlur4,BSSlur5,BSSlur6,BSSlur7,BSSlurResp,BSDrunkGroup2B,BSDrunk1,BSDrunk2,BSDrunk3,BSDrunk4,BSDrunk5,BSDrunk6,BSDrunk7,BSDrunkResp,BSDrunkRisk,LeftRight,GenTrust,CivEngPol1,CivEngVol1,CivEngPol2,CivEngVol2,CivEngVol3,CivEngPol3,CivEngVol4,CivEngPol4,DivPol1,DivPol2,DivPol3,DivPol4,DivPol5,DivPol6,DivPol7,DivPol8,FrEthn1,FrEthn2,FrEthn3,FrEthn4,FrEthn5,IOSblack,IOSsAs,IOSwhite,InteractBlack,InteractSAsian,InteractWBrit,InteractOthBr,InteractNonBr,SchoolBlack,SchoolSAsian,SchoolWhBr,SchoolOthBr,SchoolNonBr,SelfExp1,SelfExp2,SelfExp3,SelfExp4,DivValWhBr,DivValBlackBr,DivValSAsBr,DivValpersBr,DivValpersUni,DivValProm,DivValInstr1,DivValInstr2R,DivValpersContact1,DivValInstr3,DivValInstr4,DivValpersContact2R,DivValInstr5,AffBlWarm,AffBlNeg,AffSAsWarm,AffSAsNeg,AffWhWarm,AffWhNeg,SCMBlConfident,SCMBlSincere,SCMBlCompetent,SCMBlWarm,SCMSAsConfident,SCMSAsSincere,SCMSAsCompetent,SCMSAsWarm,SCMWhConfident,SCMWhSincere,SCMWhCompetent,SCMWhWarm,nWhExpWhComplimented,nWhExpWhRidiculed,nWhExpWhMadeFeelUnwanted,nWhExpWhVerbAbused,nWhExpWhBefriended,nWhExpWhMadeFeelWelcome,nWhExpWhIntimidated,nWhExpWhSupported,nWhExpWhThreathened,nWhExpWhHelped,nWhExtConNum,nWhExtConPerc,nWhSelfDiscWorry,nWhSelfDiscFeel,nWhAnxHallUnhappy,nWhAnxHallPleased,nWhAnxHallTense,nWhEmpathy1,nWhEmpathy2,nWhPerspTak1,nWhPerspTak2,nWhPerspTak3,nWhPerspTak4R,nWhPerspTak5R,nWhBelDirections,nWhBelDancing,nWhEthnId1,nWhEthnId2,nWhEthnId3,nWhEthnId4,nWhWhPriv1,nWhWhPriv2R,nWhSterWhPriviliged,nWhSterWhSupportive,nWhSterWhArrogant,nWhSterWhPrejudiced,Rubbish8,nWhExpComfortable,nWhExpSuspicious,nWhExpAwkward,nWhExpSecure,nWhExpThreatened,nWhExpConfident,nWhUnfavWh,WhExpBlComplimented,WhExpBlRidiculed,WhExpBlMadeFeelUnwanted,WhExpBlVerbAbused,WhExpBlBefriended,WhExpBlMadeFeelWelcome,WhExpBlIntimidated,WhExpBlSupported,WhExpBlThreathened,WhExpBlHelped,WhExtConNum,WhExtConPerc,WhSelfDiscWorry,WhSelfDiscFeel,WhAnxHallUnhappy,WhAnxHallPleased,WhAnxHallTense,WhEmpathy1,WhEmpathy2,WhPerspTak1,WhPerspTak2,WhPerspTak3,WhPerspTak4R,WhPerspTak5R,WhBelDirections,WhBelDancing,WhEthnId1,WhEthnId2,WhEthnId3,WhEthnId4,WhGuilt1,WhGuilt2,WhWhPriv1,WhWhPriv2R,WhSterWhPriviliged,WhSterWhSupportive,WhSterWhArrogant,WhSterWhPrejudiced,WhMetaSterWhPriviliged,WhMetaSterWhSupportive,WhMetaSterWhArrogant,WhMetaSterWhPrejudiced,Rubbish1,WhExpComfortable,WhExpSuspicious,WhExpAwkward,WhExpSecure,WhExpThreatened,WhExpConfident,WhUnfavSAsBr,WhUnfavBlBr,FrequDiscrLabour,FrequDiscrPolice,FrequDiscrFellWhEmpl,FrequDiscrFaculty,FrequDiscrGlaring,FrequDiscrSlurs,FrequDiscrPubs,Rubbish2,Rubbish3,Rubbish4,Rubbish5,MedWealthAfrCar,Rubbish6,SharAfrCarFirstTwoOne,AttribAbility,AttribEduOpps,AttribRespect,PrejBelNoLonger,PrejBelNoFav,PrejBelLessDes,PrejBelUnequOpps,PrejBelLackResp,RAS2,RAS3,RAS4R,RAS5R,RAS6,RAS7R,RAS8,RAS9R,RAS10R,RAS11,PAuth1,PAuth2R,PAuth3R,PAuth4R,PAuth5R,PAuth6R,PAuth7R,PAuth8,PAuth9R,PAuth10R,SelfDec1R,SelfDec2,SelfDec3R,SelfDec4,SelfDec5R,SelfDec6,SelfDec7,SelfDec8R,MotUnprejExt1,MotUnprejInt1,MotUnprejExt2,MotUnprejInt2,MotUnprejInt3,MotUnprejExt3,ID,PercDone
20,2,10,1,,4,4,5,5,5,4,3,5,4,5,2,3,6,4,1,5,3,5,1,6,5,7,6,5,7,3,2,4,4,1,2,2,2,3,5,5,3,4,4,4,6,6,3,3,3,3,3,,,7,5,5,60,25,5,,,,,,6,5,6,6,5,5,5,5,6,5,6,3,5,4,5,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,2,2,5,6,2,6,1,6,2,33,5,3,2,4,2,3,6,4,3,2,2,4,7,1,5,5,1,5,3,6,5,3,,,,,,,,,,6,1,3,6,1,6,30,30,5,6,5,4,6,6,5,200000,70,200000,70,200000,70,70,2,4,3,2,3,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,3,5,6,3,115332,110
20,2,10,1,,4,7,5,5,5,2,5,7,3,3,3,2,2,2,2,6,2,1,1,4,2,4,6,4,4,5,1,1,1,4,3,3,3,3,6,5,5,5,4,7,6,6,3,3,3,4,4,,,3,5,5,70,5,15,2,2,90,4,2,6,6,4,6,4,7,6,7,7,5,7,1,6,6,7,1,7,4,2,4,2,5,1,6,7,7,6,6,7,7,6,6,6,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,1,3,5,3,3,1,3,2,40,5,5,2,3,2,5,5,2,1,2,2,5,7,1,6,7,2,6,2,5,6,1,70,70,30,30,90,50,40,60,Judgemental ,7,1,1,6,1,5,30,40,3,3,5,3,6,6,6,200000,40,200000,40,200000,40,40,1,4,1,2,1,6,6,1,4,5,3,4,4,4,2,5,5,4,2,2,4,3,5,4,4,1,4,4,4,2,4,8,3,4,4,4,2,7,2,7,7,1,777585,110
25,1,12,2,22,4,5,1,6,2,6,6,6,2,2,1,1,4,1,2,2,2,2,1,4,2,1,2,2,5,5,1,2,1,1,1,2,4,1,4,4,5,4,4,2,2,5,4,4,4,3,4,,,5,0,0,90,0,50,,,,,,6,7,7,7,4,4,4,6,6,4,5,4,5,2,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,2,4,1,4,1,4,2,90,5,5,1,5,1,5,5,1,1,4,1,1,7,1,1,2,2,2,2,6,5,2,,,,,,,,,,5,2,2,6,1,4,10,10,4,4,4,3,5,5,5,0,,0,,0,#VALUE!,,3,1,1,1,3,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,7,7,1,885152,110
20,2,12,1,,4,5,4,2,2,2,3,4,2,5,4,5,4,2,1,6,4,4,5,5,4,4,4,5,6,3,1,1,1,1,5,5,5,5,6,7,7,6,4,4,5,7,4,1,4,4,2,7,4,7,,,,,,,,,,,7,7,7,7,4,4,4,4,6,6,5,2,5,4,6,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,4,5,5,4,325000,80,325000,80,325000,80,80,3,3,3,3,4,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,916424,110
24,2,12,3,,2,6,6,5,2,1,6,6,5,4,2,2,6,2,2,5,5,5,2,7,6,6,6,6,4,3,1,4,4,1,5,5,2,2,6,6,6,5,4,5,5,6,4,4,4,4,4,,,5,0,0,50,0,50,50,0,50,0,0,7,7,7,6,3,3,3,2,4,3,6,2,6,6,7,4,6,4,1,4,1,4,1,4,5,5,5,5,5,5,5,6,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,4,4,1,1,1,4,0,0,1,1,3,3,3,6,6,1,1,1,7,1,7,2,6,4,1,1,4,5,7,1,85,40,80,70,92,45,81,71,0,6,2,2,6,2,7,30,30,5,6,5,2,6,6,6,200000,80,200000,80,200000,80,80,1,5,1,1,2,3,4,2,3,4,5,4,2,4,4,4,3,3,2,5,4,4,5,2,4,1,5,5,5,5,1,4,1,2,5,8,2,2,3,5,5,2,447255,110
20,2,12,2,9,4,7,6,6,4,1,5,5,4,5,4,4,5,2,1,5,5,6,3,7,6,6,5,7,5,5,3,1,1,1,1,4,1,3,7,6,6,6,4,6,5,5,4,3,4,4,3,,,5,0,0,30,30,50,0,0,70,0,30,6,5,4,5,5,6,5,6,4,5,5,5,4,4,4,3,4,3,3,3,3,3,3,5,4,4,4,4,4,4,4,4,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,1,3,2,1,3,2,1,,1,1,3,3,3,2,4,3,3,2,2,1,4,3,3,7,1,6,5,5,7,2,91,64,82,67,95,49,70,79,0,5,4,3,4,2,5,30,30,4,7,6,5,5,5,5,280000,80,280000,80,280000,80,80,3,4,2,4,4,3,6,2,3,3,3,4,4,3,3,4,4,3,2,3,3,3,4,3,4,2,3,4,5,2,4,3,6,5,5,4,3,3,3,3,5,4,309936,110
25,2,5,1,,5,7,7,3,1,1,1,7,7,7,7,7,4,4,2,7,7,7,3,7,3,3,6,6,4,4,2,2,2,2,2,5,2,2,7,7,7,7,4,6,6,7,2,2,4,4,4,,5,4,20,40,20,10,10,,,,,,5,7,7,7,6,6,4,6,7,7,6,3,7,7,7,7,7,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,4,1,3,2,15,3,3,3,3,3,5,5,3,1,1,4,3,7,1,7,4,4,6,7,3,,,,,,6,2,4,4,2,5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,6,2,6,6,3,80000,40,80000,40,80000,40,40,3,3,3,3,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,4,7,2,970054,110
25,1,10,1,,,7,1,4,1,1,1,7,7,6,7,7,6,4,2,6,6,5,3,7,7,7,5,6,4,5,1,1,5,1,1,3,1,5,4,4,5,6,4,6,6,6,3,3,3,4,4,,,7,30,10,45,10,5,,,,,,6,7,6,6,4,4,4,6,6,7,7,1,6,6,6,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,2,5,5,2,4,1,6,5,100,6,6,1,1,1,7,7,4,1,2,4,4,7,1,4,4,3,5,6,4,7,1,,,,,,,,,,6,1,1,6,1,6,20,20,6,6,5,4,4,5,5,100000,60,100000,60,100000,60,60,1,5,1,2,2,6,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,2,4,6,2,734333,110
39,1,12,2,33,,7,2,5,2,1,3,5,5,5,2,2,6,4,2,1,2,2,1,2,5,1,1,1,6,4,2,4,1,1,1,2,2,3,1,5,5,1,6,7,4,4,4,4,3,4,4,,,3,20,20,25,5,30,20,23,45,7,5,5,4,6,3,6,6,3,5,5,6,6,5,5,4,6,6,6,4,1,2,3,3,2,4,4,4,5,3,3,3,2,6,4,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,4,1,6,6,2,6,1,6,3,75,7,5,3,3,3,5,7,4,5,3,4,1,7,1,2,3,3,7,2,1,6,4,46,55,10,27,28,24,38,44,0,7,2,2,5,1,6,20,70,,,,,,,,,,,,,#VALUE!,,,,,,,,,,3,2,1,4,2,2,2,1,1,2,3,3,3,4,4,2,4,2,5,2,8,1,4,2,4,1,5,3,1,7,1,7,4,1,941844,110
19,2,10,1,,4,5,5,7,5,2,5,7,7,6,5,5,2,5,2,5,5,5,7,7,7,6,7,7,5,5,1,4,1,4,4,4,4,4,5,5,7,6,3,7,7,7,3,4,4,3,3,,,4,0,0,95,0,5,,,,,,6,6,6,6,7,5,6,7,7,6,5,4,7,6,6,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,1,1,3,6,1,6,1,6,0,0,1,1,2,5,1,6,6,4,4,1,1,5,7,1,4,7,7,7,6,6,6,2,,,,,,,,,,6,2,2,6,1,6,10,10,7,7,7,2,6,7,7,250,21,250,21,250000,21,21,1,5,1,1,1,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,6,7,7,2,688845,110
